Cluster_ID,Rank,Feature_Name,Importance_Score
0,1,"30. Reduced Overall Speaking Rate (based on total duration of passage reading, including articulation rate and pauses)",1.2356673017875266
0,2,23. Monopitch and/or Monoloudness (speech lacks natural inflection patterns or loudness variation),1.030413459458251
0,3,"24. Excess and Equal Stress (excessive effort/stress placed on most or all syllables, including function words such as 'if' 'the' 'and')",0.925659662296478
0,4,26. Overall Dysprosody (global estimate of reduced/impaired prosody and stress patterns) ,0.8930954492392921
0,5,29. Slow Articulation Rate (vowels and/or consonants are prolonged or articulated slowly),0.613820173983532
0,6,28. Imprecise Articulation (speech sounds slurred/ distorted) ,0.580899299665409
0,7,27. Hypernasality (nasal quality related to excess air escape through velopharyngeal port),0.5086136858520244
0,8,17. Overall Dysphonia (global estimate of voice quality in speech),0.3027108118920514
0,9,"21. Short Phrases (respiratory capacity is not sufficient for speech, leading to reduced number of words per phrase and/or frequent breaths which interrupt speech)  ",0.2224301287996892
0,10,13. Strained Voice (excess vocal effort/hyperfunction),0.15739028200585947
1,1,19. Loudness Decay (speech becomes increasingly quiet when speaking; typically recovers after taking a breath) ,1.352436838631463
1,2,25. Reduced Stress (overall reduced emphasis/energy in speech),1.1344264425490713
1,3,17. Overall Dysphonia (global estimate of voice quality in speech),0.6828061257996054
1,4,"21. Short Phrases (respiratory capacity is not sufficient for speech, leading to reduced number of words per phrase and/or frequent breaths which interrupt speech)  ",0.6806653027191765
1,5,"20. Reduced Loudness (overall speaking voice is unusually soft, quiet)",0.6684264433256023
1,6,26. Overall Dysprosody (global estimate of reduced/impaired prosody and stress patterns) ,0.6362033211672882
1,7,13. Strained Voice (excess vocal effort/hyperfunction),0.5704092560928226
1,8,23. Monopitch and/or Monoloudness (speech lacks natural inflection patterns or loudness variation),0.47847528395383815
1,9,27. Hypernasality (nasal quality related to excess air escape through velopharyngeal port),0.47312483820475765
1,10,28. Imprecise Articulation (speech sounds slurred/ distorted) ,0.39374551924298395
2,1,"30. Reduced Overall Speaking Rate (based on total duration of passage reading, including articulation rate and pauses)",2.0751587310452186
2,2,29. Slow Articulation Rate (vowels and/or consonants are prolonged or articulated slowly),1.3094329846860957
2,3,25. Reduced Stress (overall reduced emphasis/energy in speech),0.7465251396728253
2,4,27. Hypernasality (nasal quality related to excess air escape through velopharyngeal port),0.7409902120197316
2,5,28. Imprecise Articulation (speech sounds slurred/ distorted) ,0.559484857046215
2,6,26. Overall Dysprosody (global estimate of reduced/impaired prosody and stress patterns) ,0.2761947604474693
3,1,17. Overall Dysphonia (global estimate of voice quality in speech),1.7444186148472278
3,2,13. Strained Voice (excess vocal effort/hyperfunction),1.0138929071199787
3,3,"20. Reduced Loudness (overall speaking voice is unusually soft, quiet)",0.45236513125604466
3,4,29. Slow Articulation Rate (vowels and/or consonants are prolonged or articulated slowly),0.27762270135183176
