,0
13. Strained Voice (excess vocal effort/hyperfunction),3
17. Overall Dysphonia (global estimate of voice quality in speech),3
19. Loudness Decay (speech becomes increasingly quiet when speaking; typically recovers after taking a breath) ,1
"20. Reduced Loudness (overall speaking voice is unusually soft, quiet)",1
"21. Short Phrases (respiratory capacity is not sufficient for speech, leading to reduced number of words per phrase and/or frequent breaths which interrupt speech)  ",1
23. Monopitch and/or Monoloudness (speech lacks natural inflection patterns or loudness variation),0
"24. Excess and Equal Stress (excessive effort/stress placed on most or all syllables, including function words such as 'if' 'the' 'and')",0
25. Reduced Stress (overall reduced emphasis/energy in speech),1
26. Overall Dysprosody (global estimate of reduced/impaired prosody and stress patterns) ,0
27. Hypernasality (nasal quality related to excess air escape through velopharyngeal port),2
28. Imprecise Articulation (speech sounds slurred/ distorted) ,0
29. Slow Articulation Rate (vowels and/or consonants are prolonged or articulated slowly),2
"30. Reduced Overall Speaking Rate (based on total duration of passage reading, including articulation rate and pauses)",2
