,perceptual,acoustic
MIBD67,1,2
TIBD99,2,0
TIBD101,1,1
TIBD102,3,2
TIBD103,2,2
TIBD104,2,3
TIBD106,0,0
TIBD112,0,0
TIBD113,2,0
TIBD118,0,2
MIBD09,0,0
MIBD24,2,3
MIBD30,3,2
MIBD33,2,2
MIBD35,2,0
MIBD36,0,0
MIBD37,0,0
MIBD40,0,1
MIBD45,1,2
MIBD46,1,0
MIBD47,0,0
MIBD50,0,3
MIBD54,1,2
MIBD63,0,2
TIBD03,0,3
TIBD06,0,0
TIBD07,1,1
TIBD11,3,0
TIBD12,0,2
TIBD13,3,0
TIBD16,0,0
TIBD19,0,1
TIBD20,2,0
TIBD27,1,3
TIBD28,2,1
TIBD29,0,0
TIBD30,0,1
TIBD31,0,3
TIBD33,2,0
TIBD35,1,3
TIBD37,0,3
TIBD42,0,2
TIBD43,3,1
TIBD44,0,3
TIBD45,2,3
TIBD46,3,1
TIBD48,0,3
TIBD49,2,0
TIBD50,1,1
TIBD51,3,0
TIBD52,1,1
TIBD53,0,0
TIBD54,0,0
TIBD55,0,1
TIBD56,0,1
TIBD57,3,2
TIBD59,0,0
TIBD60,2,2
TIBD63,2,3
TIBD65,0,0
TIBD66,2,1
TIBD67,0,1
TIBD68,1,3
TIBD69,0,0
TIBD70,1,1
TIBD71,3,3
TIBD72,3,0
TIBD73,0,0
TIBD74,0,2
TIBD79,1,3
TIBD80,3,0
TIBD81,0,0
TIBD84,1,3
TIBD86,1,2
TIBD91,0,0
TIBD92,1,0
