,0
f1,1
f2,1
f2_bw,2
f1_d_dx_median,0
f1_d_dx_prc_5,1
f1_d_dx_prc_95,2
f1_d_dx_prc_5_95,2
f2_d_dx_median,1
f2_d_dx_prc_5,1
f2_d_dx_prc_95,2
f2_d_dx_prc_5_95,2
f0_mean,2
f0_std,2
CPP_mean,2
CPP_F1_comp,3
CPP_F2_comp,3
F1_F2_comp,3
intensity_CV,0
speech_rate,0
total_dur,1
speech_dur,1
percent_pause,3
num_pause,1
mean_pause_dur,3
mean_phrase_dur,1
cv_pause_dur,0
cv_phrase_dur,2
total_pause_dur,3
fft_peaks1,1
fft_peaks2,1
fft_ampli1,0
fft_ampli2,0
nrj_below_boundary,0
nrj_above_boundary,0
nrj_3_6,0
ratio_below_above,1
F1width,0
A1P1,3
A1P1comp,3
P1amp,1
