,Component_0,Component_1,Component_2,Component_3
f1,0.8034581748135317,0.9694627949207817,0.35754006558044227,2.220446049250313e-16
f2,1.0844188533000396,1.2205709587096125,2.220446049250313e-16,2.220446049250313e-16
f2_bw,0.26551191152409603,0.2554031347722007,0.6005881113876312,0.41691894840053073
f1_d_dx_median,0.5329362051826436,0.43096083456945944,0.3734014108504068,0.24237919033668
f1_d_dx_prc_5,0.5281320224587891,1.0522110852396374,2.220446049250313e-16,0.6420119503926618
f1_d_dx_prc_95,0.49873478877459226,2.220446049250313e-16,0.5526839939258782,0.17395440425619035
f1_d_dx_prc_5_95,0.5269381464090509,2.8057317923052834e-14,0.7121428617352838,0.21155370149497638
f2_d_dx_median,0.6060356299683121,0.6606251577794622,0.330099302096981,0.33040812532012204
f2_d_dx_prc_5,0.690263957523916,1.2656396657182596,2.220446049250313e-16,0.31686549476015596
f2_d_dx_prc_95,0.23255276496177227,2.220446049250313e-16,0.8832966619653255,0.36753671937957105
f2_d_dx_prc_5_95,0.26067965934061854,2.220446049250313e-16,0.9300508219106819,0.3753150124624672
f0_mean,0.1865109832324028,0.5916686287087856,1.169781710451937,0.061040795487918756
f0_std,0.3308473670440485,0.40770069890882416,0.8657461521853232,2.220446049250313e-16
CPP_mean,2.220446049250313e-16,0.3383112960989228,0.651882787998861,2.220446049250313e-16
CPP_F1_comp,0.9750127305292099,0.20182542561368774,2.220446049250313e-16,1.1936216609790813
CPP_F2_comp,0.6857774460871853,0.16039636380818417,2.220446049250313e-16,1.0667768576300278
F1_F2_comp,0.5983457393065498,0.17076928614127784,0.5349272123756827,0.6218486863949974
intensity_CV,1.0350528247729949,0.5613611960636565,0.45658639434850345,8.903814236295924e-12
speech_rate,1.1828343594028583,0.2558427225831513,0.3843580604946902,0.1688143796816445
total_dur,2.220446049250313e-16,0.7928769437817964,0.4219601855759183,0.23020794161837296
speech_dur,2.220446049250313e-16,0.9695937711769784,0.526155076795645,0.04212306511425151
percent_pause,0.07517877005824908,0.18543098012499226,0.2283278111328264,1.143207591737939
num_pause,2.220446049250313e-16,0.37943833462688775,0.324693950249683,0.17578565089645043
mean_pause_dur,0.05553045062142244,0.1655370082745507,2.220446049250313e-16,0.6209581952441638
mean_phrase_dur,0.43804206988501176,0.47691383437158824,0.18543293039706094,2.220446049250313e-16
cv_pause_dur,0.32563695120854813,0.05809489894616528,0.16911719466625297,2.220446049250313e-16
cv_phrase_dur,0.4975202103615271,0.27791212972429163,0.5559339047694651,0.20227671579239723
total_pause_dur,2.220446049250313e-16,0.4498275064722564,0.22178316772823742,0.5556437358090212
fft_peaks1,0.1149623769057023,0.1551399823168104,0.08288681203226843,0.05579416110317226
fft_peaks2,0.35549309851955835,0.4212952642282413,0.19388990989319022,0.24392430679133018
fft_ampli1,0.5276967434583963,2.220446049250313e-16,1.0763824496261898e-06,0.11693958922918052
fft_ampli2,0.638308104711848,2.220446049250313e-16,0.0742036003944231,2.220446049250313e-16
nrj_below_boundary,0.48739516208524153,2.220446049250313e-16,1.9546376769668797e-05,2.220446049250313e-16
nrj_above_boundary,0.5784469139774833,2.220446049250313e-16,0.0033140110671118113,2.220446049250313e-16
nrj_3_6,0.5544726094646378,2.220446049250313e-16,8.242630489805606e-05,2.220446049250313e-16
ratio_below_above,2.220446049250313e-16,0.08065089233120291,2.220446049250313e-16,2.220446049250313e-16
F1width,0.5538093451171663,0.36688115331076343,0.3762356890109144,0.12492269870947197
A1P1,0.3213666982081445,2.220446049250313e-16,0.5447742141703785,1.1319948933767132
A1P1comp,0.3304612202205879,2.220446049250313e-16,0.5515148250077515,1.143387047404216
P1amp,0.43199587850492827,1.1734403344869984,0.21222977522580613,2.220446049250313e-16
