Cluster_ID,Rank,Feature_Name,Importance_Score
0,1,"30. Reduced Overall Speaking Rate (based on total duration of passage reading, including articulation rate and pauses)",1.2356673017875206
0,2,23. Monopitch and/or Monoloudness (speech lacks natural inflection patterns or loudness variation),1.0304134594582455
0,3,"24. Excess and Equal Stress (excessive effort/stress placed on most or all syllables, including function words such as 'if' 'the' 'and')",0.9256596622964732
0,4,26. Overall Dysprosody (global estimate of reduced/impaired prosody and stress patterns) ,0.8930954492392874
0,5,29. Slow Articulation Rate (vowels and/or consonants are prolonged or articulated slowly),0.6138201739835287
1,1,19. Loudness Decay (speech becomes increasingly quiet when speaking; typically recovers after taking a breath) ,1.3524368386314625
1,2,25. Reduced Stress (overall reduced emphasis/energy in speech),1.134426442549071
1,3,17. Overall Dysphonia (global estimate of voice quality in speech),0.6828061257996053
1,4,"21. Short Phrases (respiratory capacity is not sufficient for speech, leading to reduced number of words per phrase and/or frequent breaths which interrupt speech)  ",0.6806653027191762
1,5,"20. Reduced Loudness (overall speaking voice is unusually soft, quiet)",0.6684264433256023
2,1,"30. Reduced Overall Speaking Rate (based on total duration of passage reading, including articulation rate and pauses)",2.0751587310452106
2,2,29. Slow Articulation Rate (vowels and/or consonants are prolonged or articulated slowly),1.3094329846860906
2,3,25. Reduced Stress (overall reduced emphasis/energy in speech),0.7465251396728216
2,4,27. Hypernasality (nasal quality related to excess air escape through velopharyngeal port),0.7409902120197286
2,5,28. Imprecise Articulation (speech sounds slurred/ distorted) ,0.5594848570462126
3,1,17. Overall Dysphonia (global estimate of voice quality in speech),1.7444186148472278
3,2,13. Strained Voice (excess vocal effort/hyperfunction),1.0138929071199794
3,3,"20. Reduced Loudness (overall speaking voice is unusually soft, quiet)",0.45236513125604466
3,4,29. Slow Articulation Rate (vowels and/or consonants are prolonged or articulated slowly),0.27762270135183204
3,5,28. Imprecise Articulation (speech sounds slurred/ distorted) ,0.2597830418315982
